Station,Location_Clean,Sand (%),Clay (%),Silt (%),pH,Organic Matter (%),Arsenic (mg/kg As),Cadmium (mg/kg Cd),Lead (mg/kg Pb),Zinc (mg/kg Zn),Arsenic_Calculated_Kd,Cadmium_Calculated_Kd,Lead_Calculated_Kd,Zinc_Calculated_Kd,Arsenic_Fraction_Mobile,Cadmium_Fraction_Mobile,Lead_Fraction_Mobile,Zinc_Fraction_Mobile
Agropil,Argentina/Paraguay,65.34,11.0,23.66,7.8999999999999995,1.2714285714285711,9.252857142857144,1.667,14.957142857142857,69.84285714285714,0.12061830503785102,4.382013329090469,43.820133290904685,8.743266059225531,0.8,0.38571428571428573,0.38571428571428573,0.38571428571428573
Chuquiago,Potosí (Mining Zone),78.57962962962964,3.225925925925926,18.18148148148148,7.985185185185185,0.7544444444444445,11.649999999999999,0.6633076923076924,21.590384615384615,91.2973076923077,0.07157288437514432,3.6635572300024783,36.63557230002478,7.309757679755718,0.8,0.24814814814814815,0.24814814814814815,0.24814814814814815
Colavi - Canutillos,Potosí (Mining Zone),77.36057692307692,2.526923076923077,20.089615384615385,4.650491803278689,2.454423076923077,49.8557627118644,1.0942542372881356,36.45050847457627,184.26033898305084,0.6554986864590011,4.0166110345876405,40.166110345876405,8.014192631200878,0.559016393442623,0.8016393442622951,0.8016393442622951,0.8016393442622951
Cotagaita,Potosí (Mining Zone),76.10826086956521,2.9347826086956523,20.959565217391305,7.172173913043479,0.8930434782608695,61.45782608695652,0.8585652173913043,25.921739130434784,123.63869565217392,0.0847215432259024,2.824051440863414,28.240514408634137,5.634723415488332,0.8,0.5,0.5,0.5
El Potrillo,Argentina/Paraguay,67.30833333333334,4.061111111111111,28.631666666666668,8.18,1.01,7.758095238095238,0.6374761904761905,14.91904761904762,62.31904761904762,0.09557984227858927,5.41144764596314,54.1144764596314,10.797257557417304,0.8000000000000002,0.16666666666666666,0.16666666666666666,0.16666666666666666
El Puente,Bolivia (Non-Mining),83.15821428571428,2.307380952380952,13.463928571428571,8.06047619047619,0.8864285714285713,27.03329268292683,1.068987804878049,42.41317073170732,230.58719512195123,0.08409399806290625,4.884589600081515,48.84589600081515,9.746037553131552,0.8,0.2,0.2,0.2
El Solitario,Argentina/Paraguay,41.04153846153846,10.115384615384615,48.84307692307693,7.8307692307692305,1.4092307692307693,68.05,2.394076923076923,20.623076923076926,85.92307692307692,0.13369136938681087,5.434252532935508,54.34252532935508,10.842759288990395,0.8,0.3153846153846154,0.3153846153846154,0.3153846153846154
General Díaz,Argentina/Paraguay,25.49,0.0,74.51,8.0,0.58,4.994999999999999,0.0895,12.719999999999999,53.45,0.055023631286929796,3.66824208579532,36.6824208579532,7.319105195970239,0.8,0.1,0.1,0.1
Hacienda 9 de junio,Argentina/Paraguay,52.173846153846156,14.384615384615385,33.441538461538464,7.800000000000001,1.8107692307692307,12.593846153846155,1.6996153846153845,18.189230769230768,87.9,0.17178465258545458,6.232119511808761,62.32119511808761,12.434713204294267,0.8,0.37692307692307697,0.37692307692307697,0.37692307692307697
La Angostura,Potosí (Mining Zone),47.774,16.28,35.946,7.4799999999999995,1.784,12.8325,2.73825,48.1,158.65,0.16924510037221166,5.641503345740389,56.41503345740389,11.256279025526643,0.8,0.5,0.5,0.5
Liviara,Argentina/Paraguay,84.62899999999999,0.95,14.422,7.909999999999999,1.567,18.307,3.3042000000000002,14.401,404.7,0.1486586728045155,7.43451477905586,74.34514779055861,14.83380716872934,0.8,0.33999999999999997,0.33999999999999997,0.33999999999999997
Marca Borrada,Argentina/Paraguay,,,,8.325,,7.1499999999999995,0.14250000000000002,25.7,57.7875,0.09486832980505137,6.324555320336759,63.24555320336759,12.61914688960386,0.8,0.1,0.1,0.1
María Cristina,Argentina/Paraguay,58.628181818181815,4.8545454545454545,36.51772727272727,8.04,0.8054545454545454,11.006896551724138,0.5261034482758621,19.30310344827586,70.02758620689654,0.08086707285451276,4.267984400654841,42.67984400654841,8.515748435501639,0.8,0.21034482758620693,0.21034482758620693,0.21034482758620693
Meyer Sitio 01,Argentina/Paraguay,40.70733333333333,8.746666666666666,50.47933333333333,7.768,1.1046666666666667,11.179333333333334,1.5030000000000001,17.211333333333336,82.43333333333334,0.10479788165798008,4.1931801773832715,41.93180177383271,8.366494387807359,0.8,0.33999999999999997,0.33999999999999997,0.33999999999999997
Misión La Paz - SNIH,Argentina/Paraguay,52.7130985915493,3.8774647887323943,43.3687323943662,7.9885915492957755,1.1671830985915495,12.21391304347826,0.5798115942028985,21.148695652173913,91.1259420289855,0.1107287111400649,6.2791254159230725,62.79125415923073,12.528502313354593,0.8,0.223943661971831,0.223943661971831,0.223943661971831
Palca Grande,Bolivia (Non-Mining),64.94708333333334,3.076388888888889,31.97902777777778,7.9944444444444445,1.4159722222222222,63.92830985915493,0.8505211267605634,37.75915492957746,175.31845070422537,0.13433091977256928,7.774810991708424,77.74810991708425,15.512787377761633,0.8,0.22777777777777775,0.22777777777777775,0.22777777777777775
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,Potosí (Mining Zone),81.9188349514563,2.3640776699029127,15.730776699029127,8.145762711864407,0.8454545454545455,29.80145299145299,1.5243931623931626,92.48222222222222,222.29923076923077,0.08120085856195075,5.036329158266471,50.36329158266471,10.048797775268024,0.8,0.16101694915254236,0.16101694915254236,0.16101694915254236
Puente Aruma - Automática,Bolivia (Non-Mining),56.18787878787879,3.612727272727273,40.200303030303026,7.966666666666666,1.2933333333333332,24.125172413793102,1.3505172413793105,28.201034482758622,251.7489655172414,0.12269637321453312,6.08307229901481,60.830722990148104,12.137324917455349,0.8,0.29393939393939394,0.29393939393939394,0.29393939393939394
Puente Mendez,Bolivia (Non-Mining),76.34896551724138,2.893103448275862,20.759655172413794,7.803589743589743,1.1479310344827587,14.706842105263158,0.5280263157894737,24.454736842105262,102.96815789473685,0.11472581183005744,5.167486032885407,51.67486032885406,10.310490144544282,0.7846153846153846,0.23333333333333334,0.23333333333333334,0.23333333333333334
San Antonio - Potosí,Potosí (Mining Zone),63.184000000000005,6.279999999999999,30.538,6.76,2.556,279.78000000000003,11.338,346.281,2157.894,0.43373800386869493,6.716677750197638,67.16677750197638,13.401533996759301,0.74,0.58,0.58,0.58
San Josecito,Bolivia (Non-Mining),69.74416666666667,4.175,26.081249999999997,7.970833333333334,1.19875,14.887272727272727,0.6462727272727272,18.103181818181817,78.24545454545455,0.11372341035380533,5.959575773725658,59.595757737256584,11.890916954516305,0.8000000000000002,0.18333333333333335,0.18333333333333335,0.18333333333333335
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,Potosí (Mining Zone),71.3672,3.4560000000000004,25.1774,8.101532258064516,0.8251724137931035,15.071,1.11195,17.831000000000003,123.43283333333333,0.07935276747887039,4.373634021926428,43.736340219264285,8.726547143415573,0.8,0.2161290322580645,0.2161290322580645,0.2161290322580645
Talula - Automática,Potosí (Mining Zone),62.583157894736836,3.7947368421052627,33.62210526315789,7.942105263157895,0.8852631578947369,16.44157894736842,2.6435789473684213,16.34263157894737,246.82842105263157,0.08398343722741916,4.706800643661146,47.068006436611455,9.391301948368346,0.8,0.26842105263157895,0.26842105263157895,0.26842105263157895
Tarapaya,Potosí (Mining Zone),79.50666666666667,2.3614035087719296,18.138947368421054,7.42280701754386,2.070877192982456,243.5878181818182,7.853109090909091,202.74363636363637,1707.1181818181817,0.19646066052961866,6.548688684320624,65.48688684320624,13.066351744288067,0.8,0.5,0.5,0.5
Tumusla,Potosí (Mining Zone),78.6636,2.748,18.5868,7.885599999999999,1.0148000000000001,11.089583333333332,0.6879166666666666,20.1725,115.33375000000001,0.09627238108616615,4.412009791466923,44.12009791466923,8.803116870187653,0.8,0.34,0.34,0.34
Villamontes,Bolivia (Non-Mining),78.33346153846153,2.7153846153846155,18.96923076923077,8.163717948717949,0.8467948717948718,20.909605263157893,0.4680921052631579,20.18907894736842,69.46394736842106,0.08033401517466209,4.474622889138257,44.746228891382565,8.928046424394731,0.8,0.18717948717948718,0.18717948717948718,0.18717948717948718
Viña Quemada,Potosí (Mining Zone),56.602105263157895,6.742105263157894,36.65894736842105,7.963157894736843,1.1063157894736841,16.044736842105266,1.6664210526315788,23.800526315789472,233.03578947368422,0.10495433118432525,5.542307688610897,55.42307688610896,11.058357669047593,0.8,0.2894736842105263,0.2894736842105263,0.2894736842105263
Yocalla,Potosí (Mining Zone),55.36272727272728,5.881818181818182,38.75545454545455,7.890909090909091,1.4590909090909092,10.793636363636363,1.1156363636363638,11.557272727272727,67.5,0.1384215175791886,7.112249937505974,71.12249937505975,14.190804274945434,0.8,0.3181818181818182,0.3181818181818182,0.3181818181818182
